City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,pangody,65.85,74.4859,7.05,83,90,19.48,RU,2024-04-05
196,gadzhiyevo,69.2551,33.3362,12.2,91,44,11.21,RU,2024-04-05
197,mbandaka,0.0487,18.2603,72.86,97,37,5.59,CD,2024-04-05
198,dudinka,69.4058,86.1778,9.68,93,100,21.99,RU,2024-04-05
199,luanda,-8.8368,13.2343,82.4,83,20,10.36,AO,2024-04-05
200,murun-kuren,49.6342,100.1625,34.52,83,13,5.12,MN,2024-04-05
201,saint-pierre,-21.3393,55.4781,78.48,83,75,2.3,RE,2024-04-05
202,enewetak,11.3474,162.3373,80.47,76,75,19.98,MH,2024-04-05
203,college,64.8569,-147.8028,34.47,86,75,0.0,US,2024-04-05
204,alofi,-19.0595,-169.9187,78.69,89,75,4.61,NU,2024-04-05
205,puerto deseado,-47.7503,-65.8938,64.81,32,100,22.44,AR,2024-04-05
206,san patricio,28.017,-97.5169,87.75,29,3,19.04,US,2024-04-05
207,choibalsan,48.0667,114.5,36.07,56,0,15.73,MN,2024-04-05
208,kuqa,41.7278,82.9364,50.79,46,90,4.92,CN,2024-04-05
209,dauphin,51.1494,-100.0502,49.77,59,100,15.41,CA,2024-04-05
210,am timan,11.0297,20.2827,95.95,28,100,8.43,TD,2024-04-05
211,namibe,-15.1961,12.1522,74.12,75,47,11.12,AO,2024-04-05
212,forster,-32.1667,152.5167,67.37,100,40,5.88,AU,2024-04-05
213,kirakira,-10.4544,161.9205,80.98,86,100,3.69,SB,2024-04-05
214,'ali al gharbi,32.4633,46.6864,83.79,19,0,5.48,IQ,2024-04-05
215,tado,5.266,-76.5649,89.42,47,100,3.47,CO,2024-04-05
216,deuchendorf,47.4649,15.3196,61.68,84,100,2.48,AT,2024-04-05
217,lubang,13.8584,120.124,81.27,81,100,14.88,PH,2024-04-05
218,east london,-33.0153,27.9116,64.56,77,100,8.97,ZA,2024-04-05
219,muisne,0.6,-80.0333,81.88,81,100,8.95,EC,2024-04-05
220,namtsy,62.7161,129.6658,3.81,89,99,7.11,RU,2024-04-05
221,camocim,-2.9022,-40.8411,82.47,84,57,8.72,BR,2024-04-05
222,port macquarie,-31.4333,152.9167,64.89,94,97,5.73,AU,2024-04-05
223,olonkinbyen,70.9221,-8.7187,19.92,63,100,16.67,SJ,2024-04-05
224,nefta,33.8731,7.8777,75.42,24,0,17.34,TN,2024-04-05
225,oak grove,45.4168,-122.6401,51.15,73,75,5.01,US,2024-04-05
226,rio hato,8.3833,-80.1667,89.15,58,40,8.05,PA,2024-04-05
227,codrington,-38.2667,141.9667,53.38,94,100,4.32,AU,2024-04-05
228,takaungu,-3.6837,39.8566,82.11,83,92,11.63,KE,2024-04-05
229,meizhou,24.2977,116.1072,65.43,98,100,2.35,CN,2024-04-05
230,tete,-16.1564,33.5867,86.09,54,99,3.09,MZ,2024-04-05
231,daru,-9.0763,143.2092,79.02,89,100,5.35,PG,2024-04-05
232,bucerias,20.75,-105.3333,75.18,69,20,11.5,MX,2024-04-05
233,starokorsunskaya,45.0573,39.3161,55.72,47,0,8.95,RU,2024-04-05
234,filomeno mata,20.2,-97.7,79.34,51,32,8.08,MX,2024-04-05
235,barntrup,51.9904,9.1164,58.66,85,100,13.33,DE,2024-04-05
236,shingu,33.7333,135.9833,57.13,92,97,5.06,JP,2024-04-05
237,madinat ash shamal,26.1293,51.2009,76.03,51,0,6.76,QA,2024-04-05
238,novyy urgal,51.0736,132.5642,29.03,85,100,1.1,RU,2024-04-05
239,la'ie,21.6477,-157.9253,80.56,72,7,5.99,US,2024-04-05
240,fortuna,40.5982,-124.1573,53.98,76,20,9.22,US,2024-04-05
241,aurillac,44.9167,2.45,58.69,59,100,7.54,FR,2024-04-05
242,kingston,17.997,-76.7936,88.16,72,20,19.57,JM,2024-04-05
